scenario_id,module,family,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,repetitions,bootstrap_B,tag,cut_years,m1,m2,estimator_or_operation,final_evidence_status,source_artifact
907,H2 boundary,h2,null_no_confounding,0.9,0.9,1.0,0.85,50000,-0.8,-0.5,2000,,no direct effect and no shared confounding,0.5,1.0,1.0,other-cause overlap-weighted Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_h2_summary_7_rows.csv
1001,pRMST sensitivity,rmst,proportional hazards,1.0,1.0,1.0,0.85,5000,-0.8,-0.5,1000,1000.0,proportional hazards,,,,overlap-weighted Aalen-Johansen pRMST; archived bootstrap CIs rescored against standard true-strategy ATO truth,"truth corrected and 12,000 archived intervals rescored",.\analysis\rmst_standard_ato\rmst_standard_ato_rescored_12_scenarios.csv
1002,pRMST sensitivity,rmst,proportional hazards,1.0,1.0,0.5,0.85,5000,-0.8,-0.5,1000,1000.0,proportional hazards,,,,overlap-weighted Aalen-Johansen pRMST; archived bootstrap CIs rescored against standard true-strategy ATO truth,"truth corrected and 12,000 archived intervals rescored",.\analysis\rmst_standard_ato\rmst_standard_ato_rescored_12_scenarios.csv
1003,pRMST sensitivity,rmst,proportional hazards,1.0,1.0,0.33,0.85,5000,-0.8,-0.5,1000,1000.0,proportional hazards,,,,overlap-weighted Aalen-Johansen pRMST; archived bootstrap CIs rescored against standard true-strategy ATO truth,"truth corrected and 12,000 archived intervals rescored",.\analysis\rmst_standard_ato\rmst_standard_ato_rescored_12_scenarios.csv
1004,pRMST sensitivity,rmst,proportional hazards,0.9,0.9,1.0,0.85,5000,-0.8,-0.5,1000,1000.0,proportional hazards,,,,overlap-weighted Aalen-Johansen pRMST; archived bootstrap CIs rescored against standard true-strategy ATO truth,"truth corrected and 12,000 archived intervals rescored",.\analysis\rmst_standard_ato\rmst_standard_ato_rescored_12_scenarios.csv
1005,pRMST sensitivity,rmst,proportional hazards,0.9,0.9,0.5,0.85,5000,-0.8,-0.5,1000,1000.0,proportional hazards,,,,overlap-weighted Aalen-Johansen pRMST; archived bootstrap CIs rescored against standard true-strategy ATO truth,"truth corrected and 12,000 archived intervals rescored",.\analysis\rmst_standard_ato\rmst_standard_ato_rescored_12_scenarios.csv
1006,pRMST sensitivity,rmst,proportional hazards,0.9,0.9,0.33,0.85,5000,-0.8,-0.5,1000,1000.0,proportional hazards,,,,overlap-weighted Aalen-Johansen pRMST; archived bootstrap CIs rescored against standard true-strategy ATO truth,"truth corrected and 12,000 archived intervals rescored",.\analysis\rmst_standard_ato\rmst_standard_ato_rescored_12_scenarios.csv
1007,pRMST sensitivity,rmst,proportional hazards,0.75,0.85,1.0,0.85,5000,-0.8,-0.5,1000,1000.0,proportional hazards,,,,overlap-weighted Aalen-Johansen pRMST; archived bootstrap CIs rescored against standard true-strategy ATO truth,"truth corrected and 12,000 archived intervals rescored",.\analysis\rmst_standard_ato\rmst_standard_ato_rescored_12_scenarios.csv
1008,pRMST sensitivity,rmst,proportional hazards,0.75,0.85,0.5,0.85,5000,-0.8,-0.5,1000,1000.0,proportional hazards,,,,overlap-weighted Aalen-Johansen pRMST; archived bootstrap CIs rescored against standard true-strategy ATO truth,"truth corrected and 12,000 archived intervals rescored",.\analysis\rmst_standard_ato\rmst_standard_ato_rescored_12_scenarios.csv
1009,pRMST sensitivity,rmst,proportional hazards,0.75,0.85,0.33,0.85,5000,-0.8,-0.5,1000,1000.0,proportional hazards,,,,overlap-weighted Aalen-Johansen pRMST; archived bootstrap CIs rescored against standard true-strategy ATO truth,"truth corrected and 12,000 archived intervals rescored",.\analysis\rmst_standard_ato\rmst_standard_ato_rescored_12_scenarios.csv
